% ARFF
% Fichero para Weka con los datos del RS de 2017 y AS de 2018
@RELATION rapidscat_ascat
@ATTRIBUTE fechaJuliana numeric
@ATTRIBUTE latitud numeric
@ATTRIBUTE longitud numeric
@ATTRIBUTE velocidad_viento numeric
@ATTRIBUTE dirección_viento numeric
@ATTRIBUTE velocidad_vientoMedia numeric
@ATTRIBUTE velocidad_vientoMax numeric
@DATA
2015003,-20.93,41.87,8.62,23.63,5.134128371628367,9.97
2015003,-20.85,41.98,9.39,27.86,5.134128371628367,9.97
2015003,-20.92,41.72,8.49,23.76,5.134128371628367,9.97
2015003,-20.85,41.81,8.86,26.15,5.134128371628367,9.97
2015003,-20.77,41.92,9.19,30.5,5.134128371628367,9.97
2015003,-20.7,41.99,9.21,32.5,5.134128371628367,9.97
2015003,-20.98,41.48,8.58,22.55,5.134128371628367,9.97
2015003,-20.91,41.56,8.39,24.05,5.134128371628367,9.97
2015003,-20.85,41.67,8.3,26.05,5.134128371628367,9.97
2015003,-20.76,41.74,8.38,28.59,5.134128371628367,9.97
2015003,-20.69,41.83,8.56,32.16,5.134128371628367,9.97
2015003,-20.63,41.94,8.92,35.12,5.134128371628367,9.97
2015003,-20.97,41.31,8.54,23.3,5.134128371628367,9.97
2015003,-20.9,41.4,8.7,24.81,5.134128371628367,9.97
2015003,-20.83,41.49,8.31,26.62,5.134128371628367,9.97
2015003,-20.75,41.58,8.4,29.29,5.134128371628367,9.97
2015003,-20.68,41.68,8.38,30.9,5.134128371628367,9.97
2015003,-20.61,41.77,8.57,33.14,5.134128371628367,9.97
2015003,-20.53,41.84,8.92,35.76,5.134128371628367,9.97
2015003,-20.46,41.93,9.54,39.95,5.134128371628367,9.97
2015003,-20.96,41.14,8.3,23.57,5.134128371628367,9.97
2015003,-20.89,41.24,8.76,24.86,5.134128371628367,9.97
2015003,-20.81,41.33,8.65,26.72,5.134128371628367,9.97
2015003,-20.75,41.41,8.64,29.29,5.134128371628367,9.97
2015003,-20.67,41.51,8.7,30.54,5.134128371628367,9.97
2015003,-20.59,41.6,8.86,33.3,5.134128371628367,9.97
2015003,-20.52,41.69,8.59,35.13,5.134128371628367,9.97
2015003,-20.46,41.79,9.1,39.06,5.134128371628367,9.97
2015003,-20.37,41.88,9.45,41.29,5.134128371628367,9.97
2015003,-20.29,41.96,9.97,46.88,5.134128371628367,9.97
2015003,-20.95,41.0,8.69,23.44,5.134128371628367,9.97
2015003,-20.88,41.07,8.44,24.72,5.134128371628367,9.97
2015003,-20.8,41.18,8.43,26.87,5.134128371628367,9.97
2015003,-20.74,41.25,8.46,29.28,5.134128371628367,9.97
2015003,-20.65,41.36,8.28,30.82,5.134128371628367,9.97
2015003,-20.59,41.44,8.63,33.13,5.134128371628367,9.97
2015003,-20.52,41.54,8.52,34.93,5.134128371628367,9.97
2015003,-20.43,41.64,8.75,36.97,5.134128371628367,9.97
2015003,-20.36,41.71,9.01,40.47,5.134128371628367,9.97
2015003,-20.29,41.81,9.34,43.36,5.134128371628367,9.97
2015003,-20.23,41.92,9.6,48.23,5.134128371628367,9.97
2015003,-20.95,40.83,9.07,22.24,5.134128371628367,9.97
2015003,-20.87,40.91,9.02,24.54,5.134128371628367,9.97
2015003,-20.79,41.02,8.75,27.31,5.134128371628367,9.97
2015003,-20.73,41.1,8.7,29.15,5.134128371628367,9.97
2015003,-20.64,41.21,8.44,31.32,5.134128371628367,9.97
2015003,-20.58,41.28,8.25,33.33,5.134128371628367,9.97
2015003,-20.51,41.38,8.21,35.01,5.134128371628367,9.97
2015003,-20.42,41.46,8.41,36.4,5.134128371628367,9.97
2015003,-20.36,41.53,8.8,38.27,5.134128371628367,9.97
2015003,-20.3,41.65,8.88,42.25,5.134128371628367,9.97
2015003,-20.22,41.74,8.91,45.82,5.134128371628367,9.97
2015003,-20.13,41.82,9.13,49.2,5.134128371628367,9.97
2015003,-20.06,41.91,9.12,52.87,5.134128371628367,9.97
2015003,-20.93,40.68,9.38,21.74,5.134128371628367,9.97
2015003,-20.85,40.75,9.37,23.18,5.134128371628367,9.97
2015003,-20.78,40.86,9.57,25.54,5.134128371628367,9.97
2015003,-20.71,40.93,9.91,28.5,5.134128371628367,9.97
2015003,-20.63,41.04,8.82,30.86,5.134128371628367,9.97
2015003,-20.56,41.12,8.62,32.64,5.134128371628367,9.97
2015003,-20.48,41.22,8.27,34.93,5.134128371628367,9.97
2015003,-20.42,41.3,8.13,36.55,5.134128371628367,9.97
2015003,-20.34,41.39,8.39,38.71,5.134128371628367,9.97
2015003,-20.27,41.49,8.4,40.56,5.134128371628367,9.97
2015003,-20.19,41.57,8.45,43.9,5.134128371628367,9.97
2015003,-20.11,41.66,8.53,46.56,5.134128371628367,9.97
2015003,-20.06,41.75,9.0,50.13,5.134128371628367,9.97
2015003,-19.98,41.85,9.43,52.94,5.134128371628367,9.97
2015003,-19.9,41.95,9.39,56.28,5.134128371628367,9.97
2015003,-20.98,40.42,9.23,18.12,5.134128371628367,9.97
2015003,-20.91,40.51,9.35,20.35,5.134128371628367,9.97
2015003,-20.84,40.6,9.8,22.69,5.134128371628367,9.97
2015003,-20.77,40.7,9.5,24.63,5.134128371628367,9.97
2015003,-20.69,40.77,9.74,26.92,5.134128371628367,9.97
2015003,-20.62,40.88,10.15,29.15,5.134128371628367,9.97
2015003,-20.55,40.96,9.91,32.02,5.134128371628367,9.97
2015003,-20.47,41.07,8.68,34.32,5.134128371628367,9.97
2015003,-20.41,41.15,8.23,35.87,5.134128371628367,9.97
